GVKEY,DATADATE,POINTDATE,qtrsback,conm,datacqtr,ACTQh,ACTQh_dc,AOQh,AOQh_dc,APQh,APQh_dc,ATQh,ATQh_dc,CEQQh,CEQQh_dc,CHEQh,CHEQh_dc,DLTTQh,DLTTQh_dc,DOQh,DOQh_dc,DVPQh,DVPQh_dc,DVQh,DVQh_dc,IBADJQh,IBADJQh_dc,IBCOMQh,IBCOMQh_dc,IBQh,IBQh_dc,ICAPTQh,ICAPTQh_dc,LCOQh,LCOQh_dc,LCTQh,LCTQh_dc,LOQh,LOQh_dc,LTQh,LTQh_dc,NIQh,NIQh_dc,NOPIQh,NOPIQh_dc,PIQh,PIQh_dc,PPENTQh,PPENTQh_dc,PSTKQh,PSTKQh_dc,PSTKRQh,PSTKRQh_dc,SALEQh,SALEQh_dc,SEQQh,SEQQh_dc,TEQQh,TEQQh_dc,TXTQh,TXTQh_dc,XIDOQh,XIDOQh_dc
001004,20180228,20180430,0,AAR CORP,Q1Y18,933.6,,259.7,,176.8,,1512.2,,915.2,,34.6,,194.3,,-15.8,,0,,7.7,,31.1,,31.3,,31.3,,1109.5,,149.7,,326.6,,62.4,,597,,15.5,,-0.5,,21.5,,318.9,,0,,0,,456.3,,915.2,,915.2,,-9.8,,-15.8,
001045,20180331,20180430,0,AMERICAN AIRLINES GROUP INC,Q1Y18,9673,,9274,,1953,,53280,,-1018,,5585,,21946,,0,,0,,48,,186,,186,,186,,20928,,12262,,17008,,15344,,54298,,186,,124,,273,,34333,,0,,0,,10401,,-1018,,-1018,,87,,0,
001062,20180228,20180430,0,ASA GOLD AND PRECIOUS METALS,Q1Y18,,,224.962,,0.189,,229.372,,228.429,,4.348,,0,,0,,0,,,,-15.772,,-15.772,,-15.772,,228.429,,0.297,,,,0.457,,0.943,,-15.772,,-15.154,,-15.772,,0,,0,,0,,0.167,,228.429,,228.429,,0,,0,
001186,20180331,20180430,0,AGNICO EAGLE MINES LTD,Q1Y18,1218.71,,783.124,,276.555,,7876.444,,4940.049,,566.848,,1372.38,,0,,0,,22.649,,44.93,,44.93,,44.93,,6312.429,,39.521,,335.577,,412.841,,2936.395,,44.93,,7.521,,69.353,,5874.61,,0,,0,,578.435,,4940.049,,4940.049,,24.423,,0,
001186,20180331,20180430,0,AGNICO EAGLE MINES LTD,Q1Y18,1218.71,,783.124,,276.555,,7876.444,,4940.049,,566.848,,1372.38,,0,,0,,22.649,,44.93,,44.93,,44.93,,6312.429,,39.521,,335.577,,412.841,,2936.395,,44.93,,7.521,,69.353,,5874.61,,0,,0,,578.435,,4940.049,,4940.049,,24.423,,0,
001209,20180331,20180430,0,AIR PRODUCTS & CHEMICALS INC,Q1Y18,5396.3,,4297.1,,1551.6,,18511.1,,10580.8,,3203.9,,3442.4,,0,,0,,415.5,,416.4,,416.4,,416.4,,14135.6,,0,,1752.3,,1923.5,,7817.9,,416.4,,74.1,,479.8,,8817.7,,0,,0,,2155.7,,10580.8,,10693.2,,56.2,,0,
001300,20180331,20180430,0,HONEYWELL INTERNATIONAL INC,Q1Y18,25587,,29278,,6641,,60948,,17595,,10280,,12738,,0,,0,,556,,1438,,1438,,1438,,30517,,6565,,18755,,8894,,43169,,1438,,307,,1909,,6083,,0,,0,,10392,,17595,,17774,,458,,0,
001410,20180131,20180331,0,ABM INDUSTRIES INC,Q4Y17,1218.1,,2437.3,,203.5,,3797,,1416.8,,68.6,,1173.3,,-0.2,,0,,11.5,,28,,28,,28,,2590.1,,484.1,,699.6,,474.5,,2380.2,,27.8,,0.5,,5.8,,141.6,,0,,0,,1588.4,,1416.8,,1416.8,,-22.2,,-0.2,
001410,20180131,20180430,0,ABM INDUSTRIES INC,Q4Y17,1218.1,,2437.3,,203.5,,3797,,1416.8,,68.6,,1173.3,,-0.2,,0,,11.5,,28,,28,,28,,2590.1,,484.1,,699.6,,474.5,,2380.2,,27.8,,0.5,,5.8,,141.6,,0,,0,,1588.4,,1416.8,,1416.8,,-22.2,,-0.2,
001447,20180331,20180430,0,AMERICAN EXPRESS CO,Q1Y18,,,12862,,82428,,179956,,19613,,32047,,52461,,0,,21,,324,,1600,,1613,,1634,,72074,,0,,,,23602,,160343,,1634,,0,,2082,,4271,,0,,0,,10339,,19613,,19613,,448,,0,
001562,20180131,20180430,0,AMERICAN SOFTWARE  -CL A,Q4Y17,106.647,,55.125,,1.841,,163.923,,112.436,,77.967,,0,,0,,0,,9.841,,5.58,,5.58,,5.58,,112.436,,45.134,,46.975,,2.31,,51.487,,5.58,,1.574,,5.779,,2.151,,0,,0,,30.118,,112.436,,112.436,,0.199,,0,
001602,20180331,20180430,0,AMGEN INC,Q1Y18,40689,,25532,,1089,,71164,,15620,,32172,,33358,,0,,0,,951,,2311,,2311,,2311,,48978,,7207,,10479,,10492,,55544,,2311,,151,,2619,,4943,,0,,0,,5554,,15620,,15620,,308,,0,
001618,20180131,20180430,0,AMREP CORP,Q4Y17,,,15.341,,2.815,,105.838,,84.612,,13.854,,0,,0,,0,,0,,-2.851,,-2.851,,-2.851,,84.612,,11.103,,,,6.629,,21.226,,-2.851,,0,,0.285,,10.028,,0,,0,,10.379,,84.612,,84.612,,3.136,,0,
001632,20180131,20180331,0,ANALOG DEVICES,Q4Y17,2177.746,,17560.152,,223.107,,20853.315,,10347.779,,827.55,,7384.856,,0,,0,,166.719,,266.929,,268.172,,268.172,,17732.635,,914.842,,1236.548,,902.266,,10505.536,,268.172,,1.536,,338.854,,1115.417,,0,,0,,1518.624,,10347.779,,10347.779,,70.682,,0,
001632,20180131,20180430,0,ANALOG DEVICES,Q4Y17,2177.746,,17560.152,,223.107,,20853.315,,10347.779,,827.55,,7384.856,,0,,0,,166.719,,266.929,,268.172,,268.172,,17732.635,,914.842,,1236.548,,902.266,,10505.536,,268.172,,1.536,,338.854,,1115.417,,0,,0,,1518.624,,10347.779,,10347.779,,70.682,,0,
001633,20180131,20180331,0,ANALOGIC CORP,Q4Y17,391.093,,70.62,,28.431,,562.112,,477.341,,165.635,,0,,0,,0,,2.497,,6.548,,6.548,,6.548,,477.341,,36.573,,67.096,,17.675,,84.771,,6.548,,0.937,,16.681,,100.399,,0,,0,,129.173,,477.341,,477.341,,10.133,,0,
001633,20180131,20180430,0,ANALOGIC CORP,Q4Y17,391.093,,70.62,,28.431,,562.112,,477.341,,165.635,,0,,0,,0,,2.497,,6.548,,6.548,,6.548,,477.341,,36.573,,67.096,,17.675,,84.771,,6.548,,0.937,,16.681,,100.399,,0,,0,,129.173,,477.341,,477.341,,10.133,,0,
001704,20180131,20180228,0,APPLIED MATERIALS INC,Q4Y17,13029,,5439,,1041,,19663,,8506,,7454,,5305,,0,,0,,106,,135,,135,,135,,13811,,3205,,4399,,1453,,11157,,135,,25,,1162,,1195,,0,,0,,4204,,8506,,8506,,1027,,0,
001704,20180131,20180331,0,APPLIED MATERIALS INC,Q4Y17,13029,,5439,,1041,,19663,,8506,,7454,,5305,,0,,0,,106,,135,,135,,135,,13811,,3205,,4399,,1453,,11157,,135,,25,,1162,,1195,,0,,0,,4204,,8506,,8506,,1027,,0,
001704,20180131,20180430,0,APPLIED MATERIALS INC,Q4Y17,13029,,5439,,1041,,19663,,8506,,7454,,5305,,0,,0,,106,,135,,135,,135,,13811,,3205,,4399,,1453,,11157,,135,,25,,1162,,1195,,0,,0,,4204,,8506,,8506,,1027,,0,
001706,20180228,20180430,0,ACTUANT CORP  -CL A,Q1Y18,591.041,,786.853,,136.941,,1480.305,,589.281,,153.595,,517.318,,0,,0,,2.39,,-18.221,,-18.221,,-18.221,,1106.599,,99.886,,274.514,,75.93,,891.024,,-18.221,,-0.367,,1.618,,102.411,,0,,0,,275.165,,589.281,,589.281,,19.839,,0,
001864,20180131,20180430,0,REX AMERICAN RESOURCES CORP,Q4Y17,239.034,,42.003,,8.149,,478.864,,381.492,,191.342,,0,,0,,0,,0,,19.053,,19.053,,19.053,,431.926,,13.655,,21.865,,3.367,,46.938,,19.053,,2.167,,1.659,,197.827,,0,,0,,109.535,,381.492,,431.926,,-18.476,,0,
001878,20180131,20180331,0,AUTODESK INC,Q4Y17,1877.9,,2090.7,,94.7,,4113.6,,-256,,1323.2,,1586,,0,,0,,0,,-173.5,,-173.5,,-173.5,,1330,,2000.5,,2123.2,,593.8,,4369.6,,-173.5,,-16.4,,-198.3,,145,,0,,0,,553.8,,-256,,-256,,-24.8,,0,
001878,20180131,20180430,0,AUTODESK INC,Q4Y17,1877.9,,2090.7,,94.7,,4113.6,,-256,,1323.2,,1586,,0,,0,,0,,-173.5,,-173.5,,-173.5,,1330,,2000.5,,2123.2,,593.8,,4369.6,,-173.5,,-16.4,,-198.3,,145,,0,,0,,553.8,,-256,,-256,,-24.8,,0,
002055,20180331,20180430,0,BARRICK GOLD CORP,Q1Y18,4796,,6845,,1046,,25396,,9479,,2384,,6344,,0,,0,,31,,158,,158,,158,,17610,,255,,1698,,4769,,14130,,158,,47,,393,,13755,,0,,0,,1790,,9479,,11266,,201,,0,
002055,20180331,20180430,0,BARRICK GOLD CORP,Q1Y18,4796,,6845,,1046,,25396,,9479,,2384,,6344,,0,,0,,31,,158,,158,,158,,17610,,255,,1698,,4769,,14130,,158,,47,,393,,13755,,0,,0,,1790,,9479,,11266,,201,,0,
002080,20180228,20180430,0,BASSETT FURNITURE INDS,Q1Y18,142.257,,38.91,,25.551,,286.665,,189.066,,47.435,,0.22,,0,,0,,4.942,,-0.913,,-0.913,,-0.913,,189.286,,52.269,,78.245,,19.134,,97.599,,-0.913,,-0.627,,1.423,,105.498,,0,,0,,110.272,,189.066,,189.066,,2.336,,0,
